label,message,message_encoded,len_message
0,today college able atten class,"[25, 513, 307, 151]",4
0,m class holla later,"[2, 151, 40]",3
0,easy ahsen select mean good,"[215, 254, 117, 9]",4
0,mmm s roast iåõd b drink 2 good indian,"[6, 108, 353, 3, 9]",5
1,know know fancy 09058097218 find pobox 6 ls15hb 150p,"[8, 8, 433, 71, 466, 226, 354]",7
0,come round,"[5, 810]",2
0,1 thing change sentence want 2 concentrate educational career m leave,"[79, 51, 238, 15, 3, 2, 54]",7
1,1000 flirt txt girl bloke   ur   age eg girl zoe 18 8007 join chat,"[809, 796, 24, 142, 4, 430, 616, 142, 175, 388, 223, 118]",12
0,walk hour 2 c u doesnåõt care y u believe m,"[259, 135, 3, 85, 1, 90, 148, 1, 395, 2]",10
1,18 day euro2004 kickoff u inform late news result daily unsubscribe send euro stop 83222,"[175, 16, 1, 875, 68, 449, 818, 418, 13, 28]",10
0,available soiree june 3rd,[462],1
0,u noe wat time e place dat sell 4d close,"[1, 397, 58, 18, 78, 110, 181, 446, 301]",9
0,job hospital data analysis start monday sure thesis got finish,"[163, 619, 101, 749, 99, 105]",6
0,jay impatient belligerent,[550],1
0,hiya comin 2 bristol 1 st week april les   rudi new yrs eve snoringthey drunk u bak college work send ink 2 bath,"[843, 671, 3, 79, 586, 39, 37, 924, 420, 1, 878, 513, 38, 13, 3, 678]",16
0,m work,"[2, 38]",2
0,u drive lor,"[1, 185, 27]",3
0,ard 515 like dat y,"[371, 14, 181, 148]",4
0,tell female v throw decide,"[21, 132, 797, 292]",4
1,eastender tv quiz flower dot compare d violet e tulip f lily txt d e f 84025 4 chance 2 win å100 cash wkent150p16,"[282, 539, 30, 78, 844, 24, 30, 78, 844, 7, 184, 3, 33, 367, 91]",15
0,m work technical support voice processnetworke field,"[2, 38, 657, 744]",4
0,come kerala 2 daysso prepared leave finalise plan travel visitneed finish urgent work,"[5, 3, 54, 123, 925, 105, 109, 38]",8
0,ok sure time tho sure library class try point good eve,"[10, 99, 18, 450, 99, 918, 151, 48, 233, 9, 420]",11
1,new local date area   lot new people register area reply date start 18 wwwflirtpartyus replys150,"[37, 195, 600, 133, 37, 137, 681, 600, 29, 195, 101, 175]",12
0,s fine ill bitch later,"[6, 155, 17, 40]",4
0,mum 2 dentist,"[443, 3]",2
0,free sir wait,"[12, 224, 50]",3
0,meet u work    tel shall work tomorrow,"[56, 1, 38, 576, 270, 38, 74]",7
1,u know ask date service 2 contact guess 09058091854 reveal po box385 m6 6wu,"[1, 8, 42, 195, 88, 3, 93, 180, 760, 222]",10
0,jus finish bathe,"[331, 105, 543]",3
0,alright ill sure car tonight,"[343, 17, 99, 165, 114]",5
1,urgent try contact u today draw win å800 prize guarantee 09050003091 land line claim c52 valid12hrs,"[109, 48, 93, 1, 25, 166, 33, 842, 69, 138, 401, 157, 49]",13
1,dear uve invite xchat final attempt contact u txt chat 86688,"[57, 981, 359, 423, 338, 93, 1, 24, 118, 419]",10
0,lul m gettin juicy gossip hospital nurse talk fat gettin think s obese oyea,"[2, 759, 619, 115, 907, 759, 22, 6]",8
0,aight ill fb couple minute,"[239, 17, 589, 140]",4
0,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,"[765, 765, 36, 765, 321, 321]",6
0,download clear movie dvd copy,"[425, 777, 286, 879, 669]",5
0,yep pretty sculpture,"[743, 527]",2
0,convey regard,[845],1
0,watch surya movie   6 pm vijay movie pokkiri,"[103, 286, 226, 332, 286]",5
0,tell happen behave like ok need,"[21, 144, 14, 10, 23]",5
0,u pic msgs phone,"[1, 241, 574, 36]",4
0,send,[13],1
0,wat people dearer de happiness dat u feel u meet de pain u feel u miss dem,"[58, 137, 323, 599, 181, 1, 64, 1, 56, 323, 300, 1, 64, 1, 44]",15
0,love start attractioni feel need time meshe thing come thoughtsi start day end hershe time dreamlove breath namemy life happen hermy life heri cry herwill happiness sorrowsi ready fight heri love crazy thing herlove proove girl beautiful lady planeti singe praise herlove start chicken curry end makie sambarlife beautiful thenwill morning thank god day mei like lotwill tell later,"[19, 101, 64, 23, 18, 51, 5, 101, 16, 106, 18, 83, 144, 83, 949, 599, 186, 592, 19, 447, 51, 142, 402, 697, 101, 106, 402, 86, 65, 182, 16, 14, 21, 40]",34
0,frndship like needle clock v r d clock v r able 2 meet evn v meetitz 4few second bt v alwys stay conecte gud 9 t,"[14, 132, 32, 30, 132, 32, 307, 3, 56, 132, 374, 305, 132, 214, 111, 235, 355]",17
0,think spatula hand,"[22, 330]",2
0,,[],0
1,award sipix digital camera 09061221061 landline delivery 28days t cs box177 m221bp 2yr warranty 150ppm 16   p på399,"[107, 931, 206, 211, 361, 355, 556, 229, 131, 766]",10
0,goodmorning today late   ltdecimalgt min,"[632, 25, 68, 349, 77]",5
1,win urgent mobile number award å2000 prize guarantee 09061790121 land line claim 3030 valid 12hrs 150ppm,"[33, 109, 34, 62, 107, 258, 69, 138, 401, 157, 49, 904, 341, 453, 229]",15
0,da mistake sorry da pls da goto doctor,"[43, 814, 31, 43, 59, 43, 881, 767]",8
0,r meet,"[32, 56]",2
0,weather cali great complexity great need car freely taxis outrageous great place sad miss home,"[52, 52, 23, 165, 52, 110, 389, 44, 26]",9
0,reach home    tired   come tomorro,"[141, 26, 627, 5]",4
0,ryder unsoldnow gibb,[],0
1,dear subscriber ur draw 4 å100 gift voucher b enter receipt correct elvis presleys birthday txt answer 80062,"[57, 4, 166, 7, 367, 287, 204, 108, 316, 621, 210, 24, 248]",13
0,fret ill buy ovulation test strip send til like march send postal addressull alrightokay,"[17, 87, 304, 13, 319, 14, 575, 13]",8
0,gift try throw cliff,"[287, 48, 797]",3
0,ne thing interesting good birthday u wrking nxt start uni today,"[51, 9, 210, 1, 101, 25]",6
0,busy come point figure tomorrow,"[409, 5, 233, 583, 74]",5
0,yeah bored depressed sittin waitin phone ring hope wind drop scary,"[76, 606, 36, 405, 46, 340]",6
0,black shirt n blue jean thk c ì,"[968, 35, 637, 145, 85, 45]",6
0,aiyah sorry lor watch tv watch forget 2 check phone,"[31, 27, 103, 282, 103, 173, 3, 128, 36]",9
1,message important information o2 user today lucky day 2 find log httpwwwurawinnercom fantastic surprise await,"[61, 309, 658, 837, 25, 452, 16, 3, 71, 481, 756, 659, 288]",13
0,hen night swing,"[47, 687]",2
0,good afternoon love day     wake early online wait   hmmm   italian boy online   grin,"[9, 279, 19, 16, 177, 150, 369, 50, 790, 213, 369, 660]",12
0,smoke time ve smoke week texte want smoke,"[306, 18, 67, 306, 39, 778, 15, 306]",8
0,ll headache try figure u trust math promise o,"[317, 48, 583, 1, 729, 564, 404]",7
0,s sfirst timedhoni rock,"[6, 551]",2
0,ok ill tell company,"[10, 17, 21, 434]",4
0,awesome think 8th usf time tonight,"[414, 22, 667, 18, 114]",5
0,mean think teju,"[117, 22]",2
0,m good movie ok leave hourish,"[2, 9, 286, 10, 54]",5
0,nothis kallis home groundamla home town durban,"[26, 26, 297]",3
0,let saturday monday convenience,"[72, 472, 749]",3
0,hey time driving fri evaluation fri,"[55, 18, 526, 526]",4
1,449050000301 win å2000 price claim 09050000301,"[33, 258, 314, 49]",4
0,m 4 lunch wif family aft dat str 2 orchard lor,"[2, 7, 161, 289, 386, 408, 181, 3, 679, 27]",10
1,bore speed date try speedchat txt speedchat 80155 like em txt swap new chatter chat80155 pobox36504w45wq 150pmsg rcd 16,"[695, 195, 48, 24, 14, 754, 24, 37, 519, 131]",10
0,cancel cheyyamoand money,"[706, 121]",2
1,want 750 anytime network min 150 text new video phone pound week 08000776320 reply delivery tomorrow,"[15, 436, 485, 244, 77, 640, 20, 37, 249, 36, 278, 39, 29, 361, 74]",15
0,okok okthenwhat ur todays plan,"[4, 123]",2
0,good morning princess,"[9, 86, 253]",3
0,aiyar sorry lor forget 2 tell u,"[31, 27, 173, 3, 21, 1]",6
1,mobile survey yesterday 500 text 2 use wish 2 txt send txt 80160 tc wwwtxt43com 150p,"[34, 344, 320, 20, 3, 160, 102, 3, 24, 13, 24, 342, 354]",13
0,tonight mate catch sleep new number way,"[114, 277, 470, 84, 37, 62, 66]",7
0,height oh shit situation guy throw luv letter gal fall brother head s gay d,"[53, 217, 719, 113, 797, 203, 866, 562, 499, 390, 364, 6, 840, 30]",14
1,ur hmv quiz cashbalance currently å500   maximize ur cashin send hmv1 86688 150pmsg,"[4, 736, 539, 997, 584, 421, 998, 4, 999, 13, 419, 519]",12
0,check error difficulty correction,[128],1
0,howz painhope u r fine,"[1, 32, 155]",3
0,sorry ill later,"[31, 17, 40]",3
0,good morning princess,"[9, 86, 253]",3
0,enter cabin pa   happy bday boss   feel special askd 4 lunch lunch invite apartment,"[316, 245, 60, 505, 779, 64, 162, 625, 7, 161, 161, 359, 873]",13
0,u wake thanx 4 e tau sar piah nice,"[1, 177, 260, 7, 78, 120]",6
0,k need login,"[98, 23]",2
1,forget place free request 1stchoicecouk wish information 08707808226,"[173, 110, 12, 668, 102, 658]",6
0,lol   busy,"[95, 409]",2
0,  u wear,"[1, 841]",2
0,messagesome text miss sendername miss number miss sentdate miss miss u lot s y missing send fullonsmscom,"[20, 44, 44, 62, 44, 44, 44, 1, 133, 6, 148, 13]",12
0,ohas usual vijay film different,"[986, 608, 747]",3
1,know u u know send chat 86688 let find 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 year,"[8, 1, 1, 8, 13, 118, 419, 72, 71, 519, 994, 745, 175, 92]",14
0,good day busy tomorrow night,"[9, 16, 409, 74, 47]",5
0,way send shade stuff wonderful,"[66, 13, 154, 467]",4
0,tot ur paper end long ago wat u copy jus use u happy lar haf 2 study,"[383, 4, 602, 106, 143, 641, 58, 1, 669, 331, 160, 1, 60, 194, 348, 3, 412]",17
1,thank winner notify sms good luck future marketing reply stop 84122 customer service 08450542832,"[65, 464, 360, 9, 661, 912, 29, 28, 116, 88]",10
0,babe   lose,"[81, 187]",2
0,ok help ask s work tmr,"[10, 119, 42, 6, 38, 284]",6
0,m drive rain ill catch e mrt station lor,"[2, 185, 503, 17, 470, 78, 793, 27]",8
0,drop tank,[340],1
0,text time,"[20, 18]",2
0,sorry ill later,"[31, 17, 40]",3
0,ok change,"[10, 238]",2
1,1000 girl local 2 u r virgin 2   r ready 2 4fil ur sexual need u 4fil theirs text cute 69911å150p m,"[809, 142, 3, 1, 32, 3, 32, 186, 3, 4, 23, 1, 20, 932, 2]",15
0,u find sitter kaitlyn sick sleep day yesterday,"[1, 71, 776, 84, 16, 344]",6
0,sorry man accidentally leave phone silent night check til,"[31, 127, 54, 36, 821, 47, 128, 319]",8
0,hey come min think wun sign tmr hee,"[55, 5, 77, 22, 957, 732, 284, 569]",8
0,s adult learn experience s real danger like peep drug need comment,"[6, 864, 974, 6, 209, 14, 530, 23]",8
0,hey s veggie pizza,"[55, 6, 862]",3
0,yun buying school offer 2000 plus,"[272, 152, 325]",3
0,sure neighbor pick,"[99, 73]",2
0,k sent,[98],1
1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,"[12, 298, 3, 534, 666, 33, 857, 423, 20, 158, 298, 24, 234]",13
0,new theory argument win d situation lose person argue ur friend     kick amp m correct,"[37, 33, 30, 719, 187, 139, 4, 63, 734, 80, 2, 621]",12
0,m computerless time oreo truffle,"[2, 18]",2
0,haha yeah sec,"[149, 76]",2
0,number sir,"[62, 224]",2
0,lol m hot air balloon,"[95, 2, 352]",3
0,ok    bus   come soon come tomorrow,"[10, 255, 5, 112, 5, 74]",6
0,msgs r time passthey silently think u right u think 4 moment gd ntswt drm shesil,"[574, 32, 18, 22, 1, 70, 1, 22, 7, 585, 498]",11
0,yeah probably swing roommate finish girl,"[76, 240, 687, 865, 105, 142]",6
1,2 wrc rally oz u lucozade energy text rally le 61200 25p pack lucozadecoukwrc   itcould u,"[3, 1, 768, 20, 913, 1]",6
0,happy new year melody,"[60, 37, 92]",3
0,ìï dun need pick ur gf,"[134, 125, 23, 73, 4]",5
0,yay tell 5 girl,"[21, 164, 142]",3
0,horrible u eat mac eat u forget abt rite u long 2 reply thk toot b4 b prepare wat shall eat,"[1, 130, 130, 1, 173, 302, 422, 1, 143, 3, 29, 145, 561, 108, 58, 270, 130]",17
0,fantastic chance need big life lift lose 2 live think person 2 die n v q,"[756, 184, 23, 168, 83, 791, 187, 3, 129, 22, 139, 3, 415, 35, 132]",15
0,nw come hme da,"[5, 43]",2
0,m outside island head hard rock ll run,"[2, 525, 364, 431, 551, 317, 201]",7
0,day class class,"[16, 151, 151]",3
0,m chennai velachery,"[2, 609]",2
0,flippin shit,[217],1
0,k sec break   ltgt   cstore,"[98, 333, 11]",3
0,bad avoid like,"[192, 14]",2
0,yo car,"[202, 165]",2
0,annoying,[],0
0,goodmorning today late   ltgt min,"[632, 25, 68, 11, 77]",5
0,s point hangin mr right s makin u happy,"[6, 233, 630, 70, 6, 1, 60]",7
0,come alivebetter correct good look figure,"[5, 621, 9, 97, 583]",5
0,case guess ill campus lodge,"[547, 180, 17]",3
0,,[],0
0,come home time trust,"[5, 26, 18, 729]",4
0,night worry appt shame miss girl night quiz popcorn hair,"[47, 219, 44, 142, 47, 539, 328]",7
1,sex ur mobile free sexy pic jordan text babe 88600 wk sexy celeb pocketbabecouk 4 pic 16 å3wk 087016248,"[603, 4, 34, 12, 280, 241, 20, 81, 329, 280, 7, 241, 131]",13
0,ok c ya,"[10, 85, 124]",3
1,1 new voicemail 08719181503,"[79, 37]",2
0,matter mind matter,[183],1
0,know lunch menu da   know,"[8, 161, 971, 43, 8]",5
0,al moan n e thin wrong faultal de argument r faultfe himso y bother hav 2go thanxxx,"[35, 78, 563, 323, 32, 148, 877, 308]",8
0,neft transaction reference number   ltgt   rs ltdecimalgt   credit beneficiary account   ltgt     lttimegt   ltgt,"[813, 62, 11, 731, 349, 291, 176, 11, 11]",9
0,time job natuition,"[18, 163]",2
0,know,[8],1
0,da feel yesterday night   wait til 2day night dear,"[43, 64, 344, 47, 50, 319, 895, 47, 57]",9
0,thank understanding ve try tell sura,"[65, 67, 48, 21]",4
1,win year supply cd 4 store ur choice worth å500   enter å100 weekly draw txt music 87066 tsc wwwldewcomsubs161win150ppmx3,"[33, 92, 578, 7, 652, 4, 455, 421, 316, 367, 335, 166, 24, 351, 579]",15
0,car appreciate dad map read semi argument apart thing ok p,"[165, 794, 271, 294, 51, 10, 766]",7
1,sim subscriber select receive bonus deliver door txt word ok 88600 claim 150pmsg exp 30apr,"[688, 254, 158, 375, 846, 700, 24, 122, 10, 49, 519]",11
0,need strong arm,[23],1
0,maaaan miss,[44],1
0,bday real april,"[505, 209]",2
0,guessin 9,[235],1
0,ok come ur home half hour,"[10, 5, 4, 26, 196, 135]",6
0,yo game want walmart soon,"[202, 232, 15, 112]",4
0,yeah probably sure ilol let u know personally wuldnt bother ur goin mite,"[76, 240, 99, 72, 1, 8, 877, 4, 387]",9
0,ill text creepy like think forgot,"[17, 20, 14, 22, 723]",5
0,good û ill phone tomo lunchtime shall organise,"[9, 560, 17, 36, 451, 270]",6
1,1 new voicemail 08719181513,"[79, 37]",2
0,damn tonight want wait til tomorrow,"[114, 15, 50, 319, 74]",5
0,kkim finewhen complete course,"[631, 544]",2
0,true passable high score apply phd 5year salary life easy,"[310, 893, 234, 83, 215]",5
1,1 nokia tone 4 ur mob week txt nok 87021 1st tone free   txtin tell ur friend 150ptone 16 reply hl 4info,"[79, 104, 96, 7, 4, 312, 39, 24, 200, 96, 12, 21, 4, 63, 131, 29]",16
0,prakesh know,[8],1
0,teach app da come college,"[635, 782, 43, 5, 513]",5
0,rofl betta invest   anti age product,[430],1
1,winner u specially select 2 receive å1000 cash 4 holiday flight inc speak live operator 2 claim 0871277810810,"[464, 1, 780, 254, 3, 158, 221, 91, 7, 167, 781, 874, 159, 129, 506, 3, 49]",17
0,sir receive account 1hr time sorry delay,"[224, 158, 176, 18, 31]",5
1,reply address receive post week completely free accommodation global location wwwphb1com ph08700435505150p,"[29, 377, 158, 295, 39, 788, 12, 961]",8
0,ìll submit da project tmr rite,"[43, 521, 284, 422]",4
1,free entry å250 weekly comp send word enter 84128 18 tc wwwtextcompcom cust care 08712405020,"[12, 298, 490, 335, 666, 13, 122, 316, 175, 342, 90]",11
0,jus ans lar ull noe later,"[331, 831, 194, 397, 40]",5
0,want send sell fast   ltgt k easy money,"[15, 13, 446, 385, 11, 98, 215, 121]",8
0,  thing   pub later,"[51, 445, 40]",3
0,1s finish meeting,"[105, 362]",2
0,lol ok ill snatch purse,"[95, 10, 17]",3
0,hellodrivby0quit edrunk sorry iff pthis senrddnot   dancce 2 drum n basqihave fun 2nhite x ros xxxxxxx,"[31, 3, 35, 243, 136]",5
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 mature 8 stylish 9 simple pls reply,"[752, 79, 3, 94, 7, 727, 164, 821, 226, 263, 373, 235, 403, 59, 29]",15
0,,[],0
0,ur paper e morn aft tmr,"[4, 602, 78, 408, 284]",5
0,dear relieve westonzoyland plan end,"[57, 123, 106]",3
0,hope great new semester wish good greatness,"[46, 52, 37, 633, 102, 9]",6
0,oh yes speak txt 2 u hmm u   email,"[53, 75, 159, 24, 3, 1, 694, 1, 406]",9
0,want world princess   europe,"[15, 205, 253]",3
0,decide eat dad want chinese,"[292, 130, 271, 15]",4
0,shoot m doc wait room,"[2, 50, 193]",3
0,m 4 dinner soon,"[2, 7, 220, 112]",4
0,hello site download song urgent pls,"[146, 425, 476, 109, 59]",5
0,know u mean   king havin credit m goin2be night night sweet only1more sleep,"[8, 1, 117, 830, 291, 2, 47, 47, 208, 84]",10
0,horrible gal sch stuff come u mc,"[562, 366, 154, 5, 1]",5
0,hi hun m comin 2nitetell every1 m sorry 4 hope u ava goodtimeoli rang melnite ifink mite b sortedbut il explain everythin monl8rsx,"[41, 2, 671, 2, 31, 7, 46, 1, 108, 929]",10
0,later network urgnt sm,"[40, 244, 391]",3
0,ummmmmaah happy return d day dear sweet heart happy birthday dear,"[60, 518, 30, 16, 57, 208, 169, 60, 210, 57]",10
1,08712402779 immediately urgent message wait,"[739, 109, 61, 50]",4
0,yeah like like friend imma flip shit like half hour,"[76, 14, 14, 63, 217, 14, 196, 135]",8
0,mum wan shun bian watch da glass exhibition,"[443, 126, 103, 43]",4
0,plan pongal,[123],1
0,wait till end march el nino oh,"[50, 327, 106, 575, 53]",5
0,chikkugoe room nw m bus,"[193, 2, 255]",3
0,cbe pay,[147],1
0,honey boo m miss u,"[2, 44, 1]",3
0,send jd customer service cum account executive ur mail d detail contact,"[13, 116, 88, 554, 176, 4, 293, 30, 296, 93]",10
0,yo m parent gettin cash good news pick downstem,"[202, 2, 460, 759, 91, 9, 449, 73]",8
0,thank skype wit kz sura pleasure company hope good ve ultimatum oh countin aburo enjoy,"[65, 510, 870, 434, 46, 9, 67, 53, 170]",9
1,hungry gay guy feel hungry 4 08718730555 10pmin stop text 08712460324 10pmin,"[536, 840, 113, 64, 536, 7, 764, 28, 20, 764]",10
0,ok wahala remember friend need,"[10, 228, 63, 23]",4
0,half hour,"[196, 135]",2
0,m inperialmusic listening2the weird track byåóleafcutter johnåósound like insect molestedsomeone plumbingremixe evil man acid,"[2, 14, 127]",3
0,hey sorry didntgive ya bellearli hunny bedbut mite 2 thepub l8tr uwana mt upload luv jenxxx,"[55, 31, 124, 3, 203]",5
0,seriously tell exact word right,"[774, 21, 122, 70]",4
1,u 2 phone wanna chat 2 set meet 09096102316 u cum 2moro luv jane xx callså1minmoremobsemspobox45po139wa,"[1, 3, 36, 197, 118, 3, 357, 56, 1, 554, 203, 623]",12
0,tee hee lecture cheery bye bye,[569],1
0,sorry chikku cell problem tht y able reply u msg u,"[31, 642, 188, 610, 148, 307, 29, 1, 82, 1]",10
0,collect dough pls let know place send control number,"[237, 59, 72, 8, 110, 13, 62]",7
0,ok,[10],1
1,network operator service free t   cs visit 80488biz,"[244, 506, 88, 12, 355, 556, 494]",7
0,let know contact ve settle room let know ok,"[72, 8, 93, 67, 883, 193, 72, 8, 10]",9
0,wot u 2 u weirdo,"[336, 1, 3, 1]",4
0,lor,[27],1
0,phone silent mode ok,"[36, 821, 847, 10]",4
0,meet ì 5 4 depend ì wan 2 lor,"[56, 45, 164, 7, 45, 126, 3, 27]",8
0,wait 4 tv 2 start lor u leh busy ur report,"[50, 7, 282, 3, 101, 27, 1, 274, 409, 4]",10
0,oh ho time u use type word,"[53, 828, 18, 1, 160, 480, 122]",7
0,stalk profile,[],0
0,green quote tell jerry cartoon person irritate u love u vry fail express    gud nyt,"[724, 21, 139, 1, 19, 1, 111, 607]",8
0,yes think thank,"[75, 22, 65]",3
0,s drinkin m ok,"[6, 2, 10]",3
0,wonder,[339],1
0,night end day morning come special way smile like sunny ray leave worry blue blue bay gud mrng,"[47, 106, 16, 86, 5, 162, 66, 100, 14, 54, 219, 637, 637, 111, 512]",15
0,dog   wait till end day word   run time cell,"[429, 50, 327, 106, 16, 122, 201, 18]",8
0,happy new year u,"[60, 37, 92, 1]",4
0,heygreat dealfarm tour 9 5 pm 95pax 50 deposit 16,"[235, 164, 332, 815, 131]",5
0,eat jap oso aft ur lect wat ìï lect 12 rite,"[130, 350, 408, 4, 787, 58, 134, 787, 535, 422]",10
0,hey babe come online second disappear happen,"[55, 81, 5, 369, 374, 144]",6
0,da birthdate certificate april real date today publish shall special treat secret way thank wish,"[43, 209, 195, 25, 270, 162, 407, 484, 66, 65, 102]",11
0,happy birthday ur dream come true,"[60, 210, 4, 281, 5, 310]",6
0,aiyah u ok lar e nydc wheellock,"[1, 10, 194, 78]",4
0,tell eat shit,"[21, 130, 217]",3
0,sure drive reach destination soon,"[99, 185, 141, 112]",4
0,k 8th,[98],1
0,daily text ûò favour time,"[20, 827, 18]",3
0,great hear settle s happenin wit ola,"[52, 174, 883, 6, 510]",5
0,cocksucker feel ipad worthless garbage novelty item feel bad want,"[64, 64, 192, 15]",4
0,tot u reach liao tshirt,"[383, 1, 141, 225]",4
0,fran decide 2 n e way m completely break knackered bout 3 c u 2mrw love janx ps dad fone credit,"[292, 3, 35, 78, 66, 2, 788, 333, 522, 94, 85, 1, 19, 271, 487, 291]",16
0,pick phone right pls send message,"[73, 36, 70, 59, 13, 61]",6
0,right ill appointment right,"[70, 17, 70]",3
0,designation software developer chennai,[609],1
1,enjoy jamster videosound gold club credit 2 new videosounds2 logosmusicnew fun jamstercouk 16only help 09701213186,"[170, 398, 291, 3, 37, 243, 119]",7
1,3 lion england tone reply lionm 4 mono lionp 4 poly 4 2 wwwringtonescouk original n good tone 3gbp network operator rate apply,"[94, 717, 96, 29, 7, 7, 441, 7, 3, 35, 9, 96, 244, 506, 247, 234]",16
0,jokin oni lar ìï busy wun disturb ì,"[194, 134, 409, 957, 685, 45]",6
0,ok careful   text drive,"[10, 20, 185]",3
0,ill spirit ill bb soon try sure need,"[17, 17, 848, 112, 48, 99, 23]",7
0,u r close heart u away shatter plz stay,"[1, 32, 301, 169, 1, 324, 321, 214]",8
0,love u 2 babe r u sure alrite idiot txt bak girlie,"[19, 1, 3, 81, 32, 1, 99, 24, 878]",9
0,abt pic big,"[302, 241, 168]",3
0,2 colours lor colour light n e dark lor actually m s style hair,"[3, 27, 370, 488, 35, 78, 27, 251, 2, 6, 748, 328]",12
0,whenevr ur sad whenevr ur gray remembr m 2 listn 2 watevr u wanna jus walk wid little whileamp promise ill bring ur smile,"[4, 389, 4, 2, 3, 3, 1, 197, 331, 259, 381, 269, 564, 17, 178, 4, 100]",17
0,ok treat,"[10, 407]",2
1,win new ûïharry potter order phoenix book 5 reply harry answer 5 question   chance reader,"[33, 37, 318, 199, 164, 29, 248, 164, 230, 184]",10
0,ok,[10],1
0,correct work today,"[621, 38, 25]",3
0,send scream moan bed princess,"[13, 591, 246, 253]",4
0,wake long ago dunno thing,"[177, 143, 641, 261, 51]",5
0,oh u u,"[53, 1, 1]",3
0,thk 50 shd ok plus minus 10 ì leave line paragraph,"[145, 815, 10, 325, 491, 45, 54, 157]",8
0,plz number coveragd area urgnt vasai amp reach 4o clock plz,"[321, 62, 600, 80, 141, 321]",6
0,yeah jay sort fucking retard,"[76, 550, 457, 552]",4
0,sorry bathroom sup,[31],1
1,ur balance å500 ur question sing uptown girl 80   2 answer txt ur answer 83600 good luck,"[4, 421, 4, 230, 142, 3, 248, 24, 4, 248, 9, 661]",12
0,exam february 4 wish great day,"[483, 7, 102, 52, 16]",5
0,know come ask question like mistake,"[8, 5, 42, 230, 14, 814]",6
0,aight rush ill ask jay,"[239, 17, 42, 550]",4
0,good morning plz sir,"[9, 86, 321, 224]",4
0,ok lar u sleep early nite,"[10, 194, 1, 84, 150, 380]",6
0,oh icic k lor den meet day,"[53, 98, 27, 252, 56, 16]",6
0,oh   half hour long syria canada eh   wow work day extra time   grin,"[53, 196, 135, 143, 614, 620, 38, 16, 654, 18, 660]",11
0,wall heartsnot safe hurt find care break wall amp close goodnoon,"[676, 236, 71, 90, 333, 80, 301]",7
0,sweet 4u meet carlos gauge patty interest,"[208, 894, 56, 542]",4
0,buy today ìï need c meh,"[87, 25, 134, 23, 85, 820]",6
0,aight sorry year shower s plan,"[239, 31, 92, 571, 6, 123]",6
0,mondaynxt week vl complete,"[39, 631]",2
0,ax m,[2],1
0,chill 6hrs sleep pain surgical emergency unfold okay,"[84, 300, 303]",3
0,yeah ill try scrounge,"[76, 17, 48]",3
0,crazy ar s marry ìï like gd look guy fren like s korean leonas fave dun thk aft think mayb prob ill,"[447, 6, 647, 134, 14, 498, 97, 113, 707, 14, 6, 125, 145, 408, 22, 604, 426, 17]",18
0,fredericksburg,[],0
0,que pase un buen tiempo like,[14],1
0,ok stay night xavier sleep bag m tired,"[10, 214, 47, 84, 922, 2, 627]",7
0,need test,"[23, 304]",2
0,chillin home super bowl plan,"[26, 123]",2
1,free2day sexy st georges day pic jordantxt pic 89080 miss wk saucy celeb4 pic c pocketbabecouk 0870241182716 å3wk,"[280, 586, 16, 241, 241, 44, 329, 241, 85]",9
0,bugis oso near wat,"[944, 350, 751, 58]",4
0,yo s class tmrw right,"[202, 6, 151, 70]",4
0,let ur heart ur compass ur mind ur map ur soul ur guide u loose worldgnun   send way2smscom,"[72, 4, 169, 4, 4, 183, 4, 4, 4, 1, 13]",11
0,goodnight sleep da care pa,"[890, 84, 43, 90, 245]",5
0,baaaaabe misss youuuuu     teach class 5,"[635, 151, 164]",3
0,convey regard,[845],1
0,u ne convince tht possible witot hurt feel main,"[1, 610, 926, 236, 64]",5
0,good afternoon loverboy   day   luck come way think sweetie send love sea smile happy,"[9, 279, 16, 661, 5, 66, 22, 13, 19, 528, 100, 60]",12
0,start send blackberry torch nigeria find buyer melike 4a month tell dad buy bb oh,"[101, 13, 867, 71, 171, 21, 271, 87, 848, 53]",10
0,ltgt pple marry lover becz hav gud undrstndng dat avoid problem send dis 2 u u wil gud news friday d person like tomorrow good day life break chain break suffer send   ltgt   frnd ltgt   min whn u read,"[11, 647, 684, 308, 111, 181, 188, 13, 267, 3, 1, 1, 416, 111, 449, 507, 30, 139, 14, 74, 9, 16, 83, 333, 333, 13, 11, 266, 11, 77, 1, 294]",32
0,yo dude guess arrest day,"[202, 337, 180, 16]",4
0,shuhui change 2 suntec steamboat u noe r u,"[238, 3, 1, 397, 32, 1]",6
0,dance river,[],0
0,yetunde m sorry moji busy able shopping find way want forgive reply free yahoo messenger,"[2, 31, 409, 307, 458, 71, 66, 15, 29, 12, 902]",11
0,hey pretty late want lesson join m reach tp mrt,"[55, 527, 68, 15, 299, 223, 2, 141, 793]",9
1,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870k,"[352, 129, 708, 77, 763, 509, 222, 198]",8
